SubjectID,TrialNumber,Scene,LeftCondition,RightCondition,ChosenSide,ChosenCondition,RejectedCondition,ResponseTime_sec,PresentationFPS
Jorge,1,bistro_interior,bistro_interior:dlss_rr_level1,bistro_interior:judder_level0,RIGHT,bistro_interior:judder_level0,bistro_interior:dlss_rr_level1,3.5549,240.11
Jorge,2,classroom,classroom:duration_flicker_level2,classroom:noise_colors_level0,RIGHT,classroom:noise_colors_level0,classroom:duration_flicker_level2,4.5133,240.07
Jorge,3,landscape,landscape:dlss_rr_level0,landscape:motion_noise_level0,RIGHT,landscape:motion_noise_level0,landscape:dlss_rr_level0,5.4885,240.16
Jorge,4,zeroday,zeroday:restir_level2,zeroday:motion_resolution_level1,RIGHT,zeroday:motion_resolution_level1,zeroday:restir_level2,5.5843,240.05
Jorge,5,subway,subway:judder_level1,subway:temporal-resolution-multiplexing_level1,LEFT,subway:judder_level1,subway:temporal-resolution-multiplexing_level1,5.3427,240.06
Jorge,6,zeroday,zeroday:dlss_rr_level2,zeroday:noise_colors_level0,RIGHT,zeroday:noise_colors_level0,zeroday:dlss_rr_level2,5.3967,240.05
Jorge,7,attic,attic:dlss_rr_level0,attic:noise_colors_level2,LEFT,attic:dlss_rr_level0,attic:noise_colors_level2,5.2342,240.07
Jorge,8,classroom,classroom:duration_flicker_level0,classroom:stutter_level0,RIGHT,classroom:stutter_level0,classroom:duration_flicker_level0,4.4424,240.07
Jorge,9,classroom,classroom:noise_colors_level2,classroom:judder_level1,RIGHT,classroom:judder_level1,classroom:noise_colors_level2,4.83,240.07
Jorge,10,marbles,marbles:restir_level0,marbles:duration_flicker_level0,LEFT,marbles:restir_level0,marbles:duration_flicker_level0,5.5468,240.06
Jorge,11,marbles,marbles:motion_resolution_level2,marbles:dlss_rr_level1,RIGHT,marbles:dlss_rr_level1,marbles:motion_resolution_level2,5.3176,240.06
Jorge,12,subway,subway:temporal-resolution-multiplexing_level2,subway:motion_noise_level2,LEFT,subway:temporal-resolution-multiplexing_level2,subway:motion_noise_level2,5.4593,240.06
Jorge,13,marbles,marbles:temporal-resolution-multiplexing_level0,marbles:motion_resolution_level2,LEFT,marbles:temporal-resolution-multiplexing_level0,marbles:motion_resolution_level2,5.2718,240.06
Jorge,14,bistro_exterior,bistro_exterior:motion_resolution_level0,bistro_exterior:restir_level2,RIGHT,bistro_exterior:restir_level2,bistro_exterior:motion_resolution_level0,11.3018,240.01
Jorge,15,bistro_exterior,bistro_exterior:judder_level1,bistro_exterior:noise_colors_level1,LEFT,bistro_exterior:judder_level1,bistro_exterior:noise_colors_level1,5.3844,240.06
Jorge,16,bistro_interior,bistro_interior:noise_colors_level0,bistro_interior:temporal-resolution-multiplexing_level1,LEFT,bistro_interior:noise_colors_level0,bistro_interior:temporal-resolution-multiplexing_level1,5.6384,240.05
Jorge,17,subway,subway:motion_noise_level0,subway:duration_flicker_level2,LEFT,subway:motion_noise_level0,subway:duration_flicker_level2,6.5386,240.04
Jorge,18,zeroday,zeroday:stutter_level1,zeroday:stutter_level2,LEFT,zeroday:stutter_level1,zeroday:stutter_level2,5.5927,240.05
Jorge,19,classroom,classroom:motion_noise_level2,classroom:temporal-resolution-multiplexing_level2,LEFT,classroom:motion_noise_level2,classroom:temporal-resolution-multiplexing_level2,5.2842,240.06
Jorge,20,landscape,landscape:temporal-resolution-multiplexing_level2,landscape:duration_flicker_level1,LEFT,landscape:temporal-resolution-multiplexing_level2,landscape:duration_flicker_level1,5.6884,240.06
Jorge,21,zeroday,zeroday:judder_level2,zeroday:restir_level1,RIGHT,zeroday:restir_level1,zeroday:judder_level2,10.6474,240.02
Jorge,22,bistro_interior,bistro_interior:duration_flicker_level2,bistro_interior:motion_resolution_level2,LEFT,bistro_interior:duration_flicker_level2,bistro_interior:motion_resolution_level2,5.401,240.05
Jorge,23,landscape,landscape:judder_level2,landscape:dlss_rr_level2,LEFT,landscape:judder_level2,landscape:dlss_rr_level2,5.6552,240.04
Jorge,24,bistro_interior,bistro_interior:stutter_level1,bistro_interior:duration_flicker_level1,RIGHT,bistro_interior:duration_flicker_level1,bistro_interior:stutter_level1,5.4385,240.05
Jorge,25,attic,attic:temporal-resolution-multiplexing_level2,attic:judder_level0,RIGHT,attic:judder_level0,attic:temporal-resolution-multiplexing_level2,5.251,240.06
Jorge,26,subway,subway:dlss_rr_level0,subway:stutter_level0,RIGHT,subway:stutter_level0,subway:dlss_rr_level0,5.4218,240.06
Jorge,27,attic,attic:dlss_rr_level2,attic:motion_noise_level1,RIGHT,attic:motion_noise_level1,attic:dlss_rr_level2,5.2552,240.07
Jorge,28,bistro_interior,bistro_interior:temporal-resolution-multiplexing_level2,bistro_interior:motion_noise_level2,RIGHT,bistro_interior:motion_noise_level2,bistro_interior:temporal-resolution-multiplexing_level2,7.1219,240.03
Jorge,29,marbles,marbles:duration_flicker_level0,marbles:motion_resolution_level0,RIGHT,marbles:motion_resolution_level0,marbles:duration_flicker_level0,5.7385,240.05
